atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,8.32,..9.99,8.45,77.07..,13.55,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.19,..0.97
..9.88,8.32,..9.99,8.15,77.07..,13.85,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.17,..0.97
..9.88,8.32,..9.99,10,77.07..,12,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.13,..0.97
..9.88,8.32,..9.99,9.46,77.07..,12.54,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.13,..0.97
..9.88,8.32,..9.99,9.18,77.07..,12.82,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.13,..0.97
..9.88,8.32,..9.99,8.75,77.07..,13.25,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.16,..0.97
..9.88,8.32,..9.99,11.83,77.07..,10.17,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.15,..0.97
..9.88,8.32,..9.99,9.6,77.07..,12.4,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.16,..0.97
..9.88,8.32,..9.99,11.6,77.07..,10.4,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.18,..0.97
..9.88,8.32,..9.99,10.26,77.07..,11.74,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.17,..0.97
..9.88,8.32,..9.99,11.83,77.07..,10.17,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.15,..0.97
..9.88,8.32,..9.99,10.77,77.07..,11.23,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.2,..0.97
..9.88,8.32,..9.99,11.13,77.07..,10.87,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.15,..0.97
..9.88,8.32,..9.99,11.48,77.07..,10.52,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.22,..0.97
..9.88,8.32,..9.99,11.71,77.07..,10.29,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.17,..0.97
..9.88,8.32,..9.99,8.3,77.07..,13.7,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.14,..0.97
..9.88,8.32,..9.99,11.01,77.07..,10.99,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.08,..0.97
..9.88,8.32,..9.99,10.89,77.07..,11.11,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.19,..0.97
..9.88,8.32,..9.99,11.25,77.07..,10.75,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.14,..0.97
..9.88,8.32,..9.99,10.64,77.07..,11.36,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.17,..0.97
..9.88,8.32,..9.99,8.89,77.07..,13.11,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.18,..0.97
..9.88,8.32,..9.99,9.04,77.07..,12.96,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.18,..0.97
..9.88,8.32,..9.99,10.39,77.07..,11.61,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.05,..0.97
..9.88,8.32,..9.99,8.6,77.07..,13.4,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.1,..0.97
..9.88,8.32,..9.99,9.73,77.07..,12.27,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.12,..0.97
..9.88,8.32,..9.99,10.52,77.07..,11.48,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.1,..0.97
..9.88,8.32,..9.99,9.87,77.07..,12.13,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.11,..0.97
..9.88,8.32,..9.99,11.37,77.07..,10.63,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.17,..0.97
..9.88,8.32,..9.99,10.13,77.07..,11.87,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.17,..0.97
..9.88,0.23,..9.99,8,77.07..,14,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,88.54..,0.16,..0.97
..9.88,0.97,..9.99,5,33.61..64.18,5,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.33,..0.97
..9.88,46.45,..9.99,5.58,33.61..64.18,4.42,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.79,..0.97
